"filename", "language", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\anchor_tags\style.css", "CSS", 0, 0, 9, 0, 0, 0, 9
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\audio\index.html", "HTML", 0, 19, 0, 0, 0, 0, 19
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\audio\style.css", "CSS", 0, 0, 6, 0, 0, 0, 6
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\background_images\index.html", "HTML", 0, 14, 0, 0, 0, 0, 14
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\background_images\style.css", "CSS", 0, 0, 16, 0, 0, 1, 17
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\clamp\index.html", "HTML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\clamp\style.css", "CSS", 0, 0, 8, 0, 0, 0, 8
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\iframes\index.html", "HTML", 0, 16, 0, 0, 0, 1, 17
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\iframes\style.css", "CSS", 0, 0, 8, 0, 0, 0, 8
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\index.html", "HTML", 0, 28, 0, 0, 0, 1, 29
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\media_queries\index.html", "HTML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\media_queries\style.css", "CSS", 0, 0, 12, 0, 0, 1, 13
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\pseudo_classes\index.html", "HTML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\pseudo_classes\style.css", "CSS", 0, 0, 27, 0, 0, 1, 28
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\pseudo_elements\index.html", "HTML", 0, 22, 0, 0, 0, 4, 26
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\pseudo_elements\style.css", "CSS", 0, 0, 3, 0, 0, 0, 3
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\style.css", "CSS", 0, 0, 45, 0, 0, 3, 48
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\transitions\index.html", "HTML", 0, 15, 0, 0, 0, 0, 15
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\transitions\style.css", "CSS", 0, 0, 14, 0, 0, 4, 18
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\variable_fonts\index.html", "HTML", 0, 15, 0, 0, 0, 3, 18
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\variable_fonts\style.css", "CSS", 0, 0, 17, 0, 0, 2, 19
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\video\index.html", "HTML", 0, 17, 0, 0, 0, 0, 17
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\video\style.css", "CSS", 0, 0, 4, 0, 0, 0, 4
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\vmin_vmax\index.html", "HTML", 0, 18, 0, 0, 0, 1, 19
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\portfolio\vmin_vmax\style.css", "CSS", 0, 0, 24, 0, 0, 0, 24
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\reviewofweb\index.html", "HTML", 0, 24, 0, 0, 0, 3, 27
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\smartphone\index.html", "HTML", 0, 40, 0, 0, 0, 1, 41
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\smartphone\style.css", "CSS", 0, 0, 30, 0, 0, 2, 32
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\style.css", "CSS", 0, 0, 50, 0, 0, 2, 52
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\web1\index.html", "HTML", 0, 39, 0, 0, 0, 1, 40
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\web1\style.css", "CSS", 0, 0, 66, 0, 0, 2, 68
"Total", "-", 64, 695, 692, 377, 10, 125, 1963
