"filename", "language", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\smartphone\index.html", "HTML", 0, 38, 0, 0, 38
"c:\Users\Quinn\OneDrive\Columbia\Web Design\Git\webdev1-quinnshaffer\smartphone\style.css", "CSS", 30, 0, 0, 2, 32
"Total", "-", 30, 38, 0, 2, 70
